id,doi,field_name,field_value_json,why_special,evidence_text,suggested_table
1,10.1038/pj.2014.101,nanogel_immobilized_amount,"""~30 mg ml-1 gel bead slurry""","This is a ligand-loading metric for the nanogel affinity ligand rather than a protein adsorption metric, but it is central to interpreting IgG binding capacity.",The amount of NPs that were irreversibly immobilized in 1 ml of GB slurry was determined to be ~30 mg using fluorescent-labeled NPs.,materials_and_ligand_loading
2,10.1038/pj.2014.101,nanogel_crosslinking_series,"""2, 5, 10, and 20 mol% BIS""","The protein adsorption figure reports multiple nanogel crosslinking variants, but supplied text does not provide exact per-variant IgG adsorption values.","Figure 5b shows the amount of IgG adsorbed and eluted by the NP-immobilized GBs with 2, 5, 10 and 20 mol% cross-linked nanogel particles.",sample_design_space
3,10.1038/pj.2014.101,nanogel_hydrodynamic_diameters,"{""NP1_2mol_percent_BIS"": ""57.3±7.0 nm"", ""NP2_5mol_percent_BIS"": ""42.0±0.1 nm"", ""NP3_10mol_percent_BIS"": ""36.9±0.3 nm"", ""NP4_20mol_percent_BIS"": ""28.6±0.4 nm""}",Nanogel size affects pore diffusion and immobilization but is not itself a protein adsorption outcome.,"Table 1 reports hydrodynamic diameters for NP1, NP2, NP3, and NP4.",material_properties
4,10.1038/pj.2014.101,nanogel_bleeding,"""not observed during reversible IgG adsorption process""",Ligand leaching is important for affinity purification media quality and reuse.,It was confirmed using the fluorescent measurement of the eluted solutions that bleeding of NPs was not observed at all throughout the whole reversible IgG adsorption process.,stability_and_reuse
5,10.1038/pj.2014.101,reported_prior_support_capacity,"""1 ml gel slurry adsorbs 50 mg IgG for previously reported macroporous gel beads""","This appears in the introduction as prior work/background, not as an experimental result of the present nanogel-immobilized bead system.","The GB have a large pore diameter of ~50 nm and a large surface area of 50 m2 g−1, which enable 1 ml of gel slurry to adsorb 50 mg of IgG.",background_comparators
6,10.1016/j.mtchem.2025.102565,PEG activation degree,"""BSA-PEG dA = 0.5; serum-PEG dA = 1""",Activation degree controls crosslink density and protein entrapment.,"The hydrogels were prepared from PEG with a low degree of activation (dA, equal to 0.5 or 1 activated PEG terminals per PEG molecule).",hydrogel_design_parameters
7,10.1016/j.mtchem.2025.102565,protein content per hydrogel disk,"""BSA-PEG: 4.5 ± 0.1 mg BSA and 4.5 ± 0.1 mg PEG per unit; serum-PEG: 3.5 ± 0.2 mg protein and approximately 3.8 mg PEG per unit""",Useful for normalizing hydrogel binding assays.,"After washing and conditioning, the hydrogel units contain a similar amount of protein and PEG: 4.5 ± 0.1 mg of each per hydrogel unit... each disk unit prepared from 100 μL of the initial serum + PEG solution contained 3.5 ± 0.2 mg protein and ≅ 3.8 mg PEG.",hydrogel_composition
8,10.1016/j.mtchem.2025.102565,serum albumin concentration assumption,"""21 mg/mL BSA in serum""",Serum hydrogel Log(Kb) values were calculated assuming albumin as the only binding agent.,The binding affinity of the ligands to the serum hydrogels was calculated assuming binding to serum albumin only and considering a BSA concentration of 21 mg/mL.,binding_calculation_assumptions
9,10.1016/j.mtchem.2025.102565,large pores,"""pore diameter close to 10 μm""",Pore size supports rapid ligand access to protein binding sites.,Large pores with a diameter close to 10 μm are observed on both hydrogels.,hydrogel_morphology
10,10.1016/j.mtchem.2025.102565,BSA secondary structure in hydrogel,"""alpha helix decreased from nearly 50% in solution to 34% in BSA-PEG hydrogel; beta sheet increased from 12% to 22%""",Protein conformation retention is central to interpreting ligand binding.,"When in the BSA-PEG hydrogel, the helical content decreased to 34 %, with a concomitant increase in the content of beta-sheet (from 12 % to 22 %).",protein_structure_in_hydrogel
