material_mention_id,doi,name,role,query,value_origin,source_database,match_status,qa_status,qa_note,pubchem_cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchikey,iupac_name
5251,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,N-vinyl 2-pyrrolidone,monomer,N-vinyl-2-pyrrolidone,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5252,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,citric acid,functional monomer or ligand group,citric acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5253,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,uranyl acetate,metal salt adsorbate source,uranyl acetate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5254,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,uranyl nitrate,metal salt adsorbate source,uranyl nitrate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5255,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,uranyl ion,adsorption target,uranyl ion,external_descriptor,PubChem,skipped,skipped,,,,,,,,
5256,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,sodium salicylate,complexing agent for detection,sodium salicylate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
5257,10.1002/1097-4628(20000801)77:5<1037::AID-APP10>3.0.CO;2-G,water,solvent,water,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
6691,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,poly(N-vinyl 2-pyrrolidone-g-tartaric acid),hydrogel adsorbent,poly(N-vinyl 2-pyrrolidone-g-tartaric acid),external_descriptor,PubChem,skipped,skipped,,,,,,,,
6692,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,N-vinyl 2-pyrrolidone,monomer,N-vinyl-2-pyrrolidone,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
6693,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,tartaric acid,grafted functional comonomer,tartaric acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
6694,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,uranyl nitrate,metal ion source / adsorbate source,uranyl nitrate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
6695,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,uranyl ion,non-protein adsorbate,uranyl,external_descriptor,PubChem,skipped,skipped,,,,,,,,
6696,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,sodium salicylate,complexing agent for UV detection,sodium salicylate,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
6697,10.1002/1097-4628(20001213)78:12<2219::AID-APP200>3.0.CO;2-X,sodium chloride,ionic strength modifier,sodium chloride,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
2325,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,acrylamide,monomer,acrylamide,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
2326,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,maleic acid,comonomer / ionizable functional monomer,maleic acid,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
2327,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,basic red 5,cationic dye adsorbate,basic red 5,external_descriptor,PubChem,skipped,skipped,,,,,,,,
2328,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,basic violet 3,cationic dye adsorbate,basic violet 3,external_descriptor,PubChem,skipped,skipped,,,,,,,,
2329,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,brilliant cresyl blue,cationic dye adsorbate,brilliant cresyl blue,external_descriptor,PubChem,skipped,skipped,,,,,,,,
2330,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,orange II,anionic dye comparator,orange II dye,external_descriptor,PubChem,skipped,skipped,,,,,,,,
2331,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,azocarmine B,anionic dye comparator,azocarmine B,external_descriptor,PubChem,skipped,skipped,,,,,,,,
2332,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,alizarin yellow G,anionic dye comparator,alizarin yellow G,external_descriptor,PubChem,skipped,skipped,,,,,,,,
2333,10.1002/1097-4628(20010307)79:10<1809::AID-APP90>3.0.CO;2-L,erytrosin B,anionic dye comparator,erythrosin B,external_descriptor,PubChem,skipped,skipped,,,,,,,,
10370,10.1002/1097-4636(20001215)52:4<701::AID-JBM15>3.3.CO;2-Y,2-Methacryloyloxyethyl phosphorylcholine,monomer,2-Methacryloyloxyethyl phosphorylcholine,external_descriptor,PubChem,not_queried,not_queried,,,,,,,,
