protein_mention_id,doi,name,abbreviation,species_or_source,role,uniprot_query,reported_mw_kDa,reported_pI,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,result_count
1,10.1038/pj.2014.101,immunoglobulin G,IgG,,target protein/model protein,immunoglobulin G,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,Q8IZF2,AGRF5_HUMAN,Adhesion G protein-coupled receptor F5,Homo sapiens,1346,149457,True,3
2,10.1038/pj.2014.101,Fc fragment of immunoglobulin G,IgG Fc,,binding domain targeted by nanogel affinity ligand,IgG Fc fragment,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,P13599,FCGRN_RAT,IgG receptor FcRn large subunit p51,Rattus norvegicus,366,40169,True,3
3,10.1038/pj.2014.101,protein A,,,reference affinity ligand in industrial IgG purification,protein A Staphylococcus aureus,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review,P81177,AURE_STAAU,Zinc metalloproteinase aureolysin,Staphylococcus aureus,509,56321,True,3
4,10.1016/j.mtchem.2025.102565,bovine serum albumin,BSA,bovine,hydrogel protein component and ligand-binding agent,bovine serum albumin,66.5,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
5,10.1016/j.mtchem.2025.102565,serum albumin,,bovine serum,major binding agent in serum-PEG hydrogels,bovine serum albumin,66.5,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
6,10.1016/j.mtchem.2025.102565,IgG,IgG,bovine serum,abundant serum protein in serum-PEG hydrogel,bovine immunoglobulin G,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,Q3ZBD7,G6PI_BOVIN,Glucose-6-phosphate isomerase,Bos taurus,557,62855,True,3
7,10.1016/j.mtchem.2025.102565,globulins,,serum,other serum proteins,bovine serum globulins,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
8,10.1016/j.mtchem.2025.102565,alpha1-acid glycoprotein,,serum,additional serum binding agent for neutral and cationic small molecules,bovine alpha-1-acid glycoprotein,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P08219,GBRA1_BOVIN,Gamma-aminobutyric acid receptor subunit alpha-1,Bos taurus,456,51856,True,3
9,10.1016/j.mtchem.2025.102565,lipoproteins,,serum,additional serum binding agents,bovine serum lipoproteins,nan,nan,external_descriptor,UniProt,matched,needs_review,broad_query_needs_accession_review;reported_species_not_in_uniprot_organism,P80109,PHLD_BOVIN,Phosphatidylinositol-glycan-specific phospholipase D,Bos taurus,839,92602,True,3
10,10.3390/pharmaceutics13091473,Bovine serum albumin,BSA,bovine,adsorbed coating protein on rGO,bovine serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
11,10.3390/pharmaceutics13091473,Type I collagen,collagen,,adsorbed coating protein on rGO,type I collagen,nan,nan,external_descriptor,UniProt,matched,usable,,P02452,CO1A1_HUMAN,Collagen alpha-1(I) chain,Homo sapiens,1464,138911,True,3
12,10.3390/pharmaceutics13091473,Elastin,elastin,,adsorbed coating protein on rGO,elastin,nan,nan,external_descriptor,UniProt,matched,usable,,P15502,ELN_HUMAN,Elastin,Homo sapiens,786,68398,True,3
13,10.3390/pharmaceutics13091473,Erythropoietin,EPO,recombinant,therapeutic protein used in secondary adsorption/blocking test,erythropoietin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01588,EPO_HUMAN,Erythropoietin,Homo sapiens,193,21307,True,3
14,10.3390/pharmaceutics13091473,Insulin,insulin,recombinant,therapeutic protein used in secondary adsorption/blocking test,insulin,6.0,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P01308,INS_HUMAN,Insulin,Homo sapiens,110,11981,True,3
15,10.3390/pharmaceutics13091473,Fetal bovine serum proteins,FBS proteins,fetal bovine serum,contextual protein mixture,,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,A7MB74,SGK1_BOVIN,Serine/threonine-protein kinase Sgk1,Bos taurus,431,49026,True,3
16,10.1002/mabi.200500085,bovine serum albumin,BSA,bovine serum,template protein and adsorption target,bovine serum albumin Bos taurus,67.0,4.8,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
17,10.1002/mabi.200500085,casein,,,selectivity comparator protein,casein,97.0,4.6,external_descriptor,UniProt,matched,usable,,P05814,CASB_HUMAN,Beta-casein,Homo sapiens,226,25382,True,3
18,10.1080/09205063.2018.1464263,bovine serum albumin,BSA,bovine,model adsorbate protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
19,10.1002/bmc.2833,human immunoglobulin G,IgG,human; Sigma catalog no. 160101; human plasma,target protein for adsorption and purification,human immunoglobulin G,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,Q8IZF2,AGRF5_HUMAN,Adhesion G protein-coupled receptor F5,Homo sapiens,1346,149457,True,3
20,10.1002/bmc.2833,anti-human IgG antibody,anti-hIgG,Sigma catalog no. I2136,immobilized affinity ligand,anti-human IgG antibody,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P08637,FCG3A_HUMAN,Low affinity immunoglobulin gamma Fc region receptor III-A,Homo sapiens,254,29089,True,3
21,10.1002/bmc.2833,Fc fragment,Fc,prepared by papain digestion of IgG,template molecule and specificity target,human IgG Fc fragment,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P55899,FCGRN_HUMAN,IgG receptor FcRn large subunit p51,Homo sapiens,365,39743,True,3
22,10.1002/bmc.2833,Fab fragment,Fab,prepared by papain digestion of IgG,competitive protein fragment,human IgG Fab fragment,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P05067,A4_HUMAN,Amyloid-beta precursor protein,Homo sapiens,770,86943,True,3
23,10.1002/bmc.2833,human serum albumin,HSA,human serum/plasma,competitive plasma protein,human serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P43652,AFAM_HUMAN,Afamin,Homo sapiens,599,69069,True,3
24,10.1002/bmc.2833,papain,,Sigma,enzyme used to digest IgG into fragments,papain,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00784,PAPA1_CARPA,Papain,Carica papaya,345,38922,True,3
25,10.1021/bm100206k,lysozyme,LSZ,chicken/hen egg white,target adsorbate protein,Gallus gallus lysozyme C egg white,14.4,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P00698,LYSC_CHICK,Lysozyme C,Gallus gallus,147,16239,True,1
26,10.1021/bm100206k,poly-DL-lysine,,"synthetic polymeric lysine, supplied as hydrobromide","surface modifier, not adsorption target",,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
27,10.1007/s11696-017-0129-4,bovine serum albumin,BSA,bovine serum,model protein for swelling and adsorption experiments,bovine serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
28,10.1080/09205063.2018.1534423,bovine serum albumin,BSA,bovine,"template molecule, adsorption target, depletion target",serum albumin bovine,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
29,10.1080/09205063.2018.1534423,lysozyme,,,competitive protein in selectivity test,lysozyme,14.4,11.0,external_descriptor,UniProt,matched,usable,,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
30,10.1080/09205063.2018.1534423,amylase,,,competitive protein in selectivity test,amylase,55.4,6.4,external_descriptor,UniProt,matched,usable,,P21543,AMYB_PAEPO,Beta/alpha-amylase,Paenibacillus polymyxa,1196,130893,True,3
31,10.1038/am.2017.71,carbonic anhydrase,CA,,enzyme class for CO2 hydration and sequestration,carbonic anhydrase,nan,nan,external_descriptor,UniProt,matched,usable,,P23280,CAH6_HUMAN,Carbonic anhydrase 6,Homo sapiens,308,35367,True,3
32,10.1038/am.2017.71,Neisseria gonorrhoeae carbonic anhydrase,ngCA,Neisseria gonorrhoeae,encapsulated enzyme biocatalyst,Neisseria gonorrhoeae carbonic anhydrase,nan,nan,external_descriptor,UniProt,matched,usable,,Q50940,CAH_NEIGO,Carbonic anhydrase,Neisseria gonorrhoeae,252,28085,True,3
33,10.1038/am.2017.71,silk fibroin,,Bombyx mori silk fibroin implied from introduction; provided from Seoul National University,protein hydrogel matrix,Bombyx mori fibroin heavy chain,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P05790,FIBH_BOMMO,Fibroin heavy chain,Bombyx mori,5263,391593,True,3
34,10.1038/am.2017.71,bovine serum albumin,BSA,bovine,protein concentration standard,bovine serum albumin,nan,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
35,10.1021/acsomega.4c11143,bovine serum albumin,BSA,bovine serum,"template protein, primary adsorption target, real-serum target band",serum albumin Bos taurus,66.4,nan,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02769,ALBU_BOVIN,Albumin,Bos taurus,607,69293,True,3
36,10.1021/acsomega.4c11143,lysozyme,Lyz,,contrasting protein in specificity test,lysozyme,nan,nan,external_descriptor,UniProt,matched,usable,,P61626,LYSC_HUMAN,Lysozyme C,Homo sapiens,148,16537,True,3
37,10.1021/acsomega.4c11143,bovine blood hemoglobin,BHb,bovine blood,contrasting protein in specificity test,bovine hemoglobin Bos taurus,64.7,6.9,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02070,HBB_BOVIN,Hemoglobin subunit beta,Bos taurus,145,15954,True,3
38,10.1021/acsomega.4c11143,cytochrome c,Cyt c,,contrasting protein in specificity test,cytochrome c,nan,nan,external_descriptor,UniProt,matched,usable,,Q01519,COX12_YEAST,"Cytochrome c oxidase subunit 12, mitochondrial",Saccharomyces cerevisiae (strain ATCC 204508 / S288c),83,9788,True,3
39,10.1007/s10965-017-1256-x,bovine serum albumin,BSA,bovine,template molecule and target protein,bovine serum albumin ALB,66.0,4.7,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P49065,ALBU_RABIT,Albumin,Oryctolagus cuniculus,608,68910,True,3
40,10.1007/s10965-017-1256-x,bovine hemoglobin,BHb,bovine,competing/comparator protein,bovine hemoglobin,64.5,6.9,external_descriptor,UniProt,matched,needs_review,reported_species_not_in_uniprot_organism,P02070,HBB_BOVIN,Hemoglobin subunit beta,Bos taurus,145,15954,True,3
